지점,지점명,일시,최고기온(°C)
133,대전,2013-01,13.8
133,대전,2013-02,18.8
133,대전,2013-03,26.1
133,대전,2013-04,26.7
133,대전,2013-05,31.8
133,대전,2013-06,32
133,대전,2013-07,33.2
133,대전,2013-08,35
133,대전,2013-09,29.9
133,대전,2013-10,28.3
133,대전,2013-11,22.1
133,대전,2013-12,13
133,대전,2014-01,11.3
133,대전,2014-02,15.6
133,대전,2014-03,25.7
133,대전,2014-04,27.2
133,대전,2014-05,33.3
133,대전,2014-06,31.1
133,대전,2014-07,34.9
133,대전,2014-08,31.8
133,대전,2014-09,31.1
133,대전,2014-10,27.1
133,대전,2014-11,18.1
133,대전,2014-12,10.1
133,대전,2015-01,10.3
133,대전,2015-02,12.4
133,대전,2015-03,23.4
133,대전,2015-04,27
133,대전,2015-05,32.1
133,대전,2015-06,35
133,대전,2015-07,34.3
133,대전,2015-08,36.3
133,대전,2015-09,31.3
133,대전,2015-10,26.7
133,대전,2015-11,21.4
133,대전,2015-12,14.2
133,대전,2016-01,14.1
133,대전,2016-02,18.7
133,대전,2016-03,22.9
133,대전,2016-04,29.2
133,대전,2016-05,31.3
133,대전,2016-06,32
133,대전,2016-07,34.7
133,대전,2016-08,37.6
133,대전,2016-09,31.5
133,대전,2016-10,27.9
133,대전,2016-11,21.9
133,대전,2016-12,14.8
133,대전,2017-01,14.8
133,대전,2017-02,15.5
133,대전,2017-03,19.5
133,대전,2017-04,28.6
133,대전,2017-05,30.7
133,대전,2017-06,34.8
133,대전,2017-07,34
133,대전,2017-08,35.9
133,대전,2017-09,29.2
133,대전,2017-10,27
133,대전,2017-11,20.8
133,대전,2017-12,12.8
133,대전,2018-01,11
133,대전,2018-02,13.1
133,대전,2018-03,24.2
133,대전,2018-04,30
133,대전,2018-05,31
133,대전,2018-06,33.8
133,대전,2018-07,37.3
133,대전,2018-08,39.4
133,대전,2018-09,29.8
133,대전,2018-10,25.6
133,대전,2018-11,19.4
133,대전,2018-12,15
133,대전,2019-01,9.5
133,대전,2019-02,15.1
133,대전,2019-03,21
133,대전,2019-04,29.3
133,대전,2019-05,32.7
133,대전,2019-06,33.2
133,대전,2019-07,35.1
133,대전,2019-08,36
133,대전,2019-09,31.5
133,대전,2019-10,27.5
133,대전,2019-11,22
133,대전,2019-12,15.2
133,대전,2020-01,14.2
133,대전,2020-02,16.8
133,대전,2020-03,23.1
133,대전,2020-04,26.9
133,대전,2020-05,29.3
133,대전,2020-06,34.3
133,대전,2020-07,31.6
133,대전,2020-08,35.4
133,대전,2020-09,31.4
133,대전,2020-10,25.5
133,대전,2020-11,22.1
133,대전,2020-12,13.4
133,대전,2021-01,14.5
133,대전,2021-02,22.6
133,대전,2021-03,24.4
133,대전,2021-04,29.9
133,대전,2021-05,31.8
133,대전,2021-06,32.9
133,대전,2021-07,36.1
133,대전,2021-08,35.3
133,대전,2021-09,30.8
133,대전,2021-10,31.2
133,대전,2021-11,21.9
133,대전,2021-12,14.1
133,대전,2022-01,10.2
133,대전,2022-02,14.1
133,대전,2022-03,21.6
133,대전,2022-04,28.3
133,대전,2022-05,31.6
133,대전,2022-06,35.7
133,대전,2022-07,35.4
133,대전,2022-08,34.3
133,대전,2022-09,33.1
133,대전,2022-10,28.3
133,대전,2022-11,25.3
133,대전,2022-12,12.5
133,대전,2023-01,15.6
133,대전,2023-02,14.7
133,대전,2023-03,25.8
133,대전,2023-04,28
133,대전,2023-05,31.4
133,대전,2023-06,33.5
133,대전,2023-07,35
133,대전,2023-08,35.7
133,대전,2023-09,32.5
133,대전,2023-10,24.1
133,대전,2023-11,26.3
133,대전,2023-12,19.8
