일시,평균기온,최고기온,최저기온
2023-01-01,-0.8,7,-5.2
2023-01-02,-3,2.4,-6.5
2023-01-03,-3.5,3.4,-9
2023-01-04,-1.5,5.5,-7.1
2023-01-05,-1.1,5.6,-5.6
2023-01-06,1.1,7.7,-4.1
2023-01-07,2.6,6.9,-2.1
2023-01-08,1.2,8.6,-4.5
2023-01-09,1.9,9.6,-2.2
2023-01-10,1.2,10.4,-5.4
2023-01-11,2.2,11.3,-4
2023-01-12,5.1,15.6,-3.5
2023-01-13,9,12.8,5.1
2023-01-14,7.3,9,5.6
2023-01-15,0.4,5.8,-3.2
2023-01-16,-3.1,1.2,-6.3
2023-01-17,-2.4,2.8,-6.9
2023-01-18,-0.8,4,-3.6
2023-01-19,0.6,6.1,-5.1
2023-01-20,-1,3.8,-6.7
2023-01-21,-3.3,2.7,-8.9
2023-01-22,-0.5,3.8,-3.9
2023-01-23,0.6,8.4,-3.8
2023-01-24,-10.9,-2.9,-14.5
2023-01-25,-11.4,-4.7,-17.7
2023-01-26,-5.8,-3.1,-11.2
2023-01-27,-6,-2.1,-9.3
2023-01-28,-5.8,0.4,-11.9
2023-01-29,-1.1,5.3,-8.5
2023-01-30,-0.4,5.5,-5
2023-01-31,2.3,10.5,-6.7
2023-02-01,3.1,8.3,-3.3
2023-02-02,-1.5,4,-4.9
2023-02-03,-0.8,5.6,-3.9
2023-02-04,-0.6,6.6,-6.4
2023-02-05,0.7,8.6,-6.1
2023-02-06,2.1,10.9,-4.9
2023-02-07,2.9,11.2,-3
2023-02-08,1.8,9.8,-3.7
2023-02-09,3.5,11.7,-4.3
2023-02-10,2.9,7.5,-0.4
2023-02-11,0.9,5.6,-2.5
2023-02-12,1.9,5.2,-2.3
2023-02-13,6.3,10.3,3.5
2023-02-14,2.4,8.6,-1.7
2023-02-15,3.4,8.3,-1.6
2023-02-16,2.7,6.7,-1.2
2023-02-17,4.2,11.6,-2.2
2023-02-18,6.4,9,4.6
2023-02-19,3.6,8.3,-1.1
2023-02-20,-0.1,5.8,-3.8
2023-02-21,-1.1,5.1,-6.2
2023-02-22,2.1,9.4,-6.3
2023-02-23,3.4,10.1,-2.7
2023-02-24,2.9,10.6,-1.5
2023-02-25,0.7,7,-3.1
2023-02-26,1.9,11,-5.8
2023-02-27,4.4,14.7,-4.4
2023-02-28,5.8,13.9,-3.1
2023-03-01,6.6,11.6,2.1
2023-03-02,2.3,7.7,-1.6
2023-03-03,4.2,13.3,-4.1
2023-03-04,6.4,14.2,-0.5
2023-03-05,7.9,17.2,-0.6
2023-03-06,8.3,17.5,-0.5
2023-03-07,11.9,21.1,3.4
2023-03-08,14.5,21.2,7.8
2023-03-09,13.9,20.2,9.1
2023-03-10,14.3,24.2,4.2
2023-03-11,16.4,25.1,7.5
2023-03-12,6.8,14.4,0.3
2023-03-13,3.5,9.7,-2.3
2023-03-14,9.4,18.1,-0.1
2023-03-15,11.5,19.6,3.2
2023-03-16,6.1,12.3,0.9
2023-03-17,7.3,12.4,2.1
2023-03-18,9.3,16.6,4.9
2023-03-19,8.7,17.1,0.3
2023-03-20,10.6,19.6,1.8
2023-03-21,14,23.8,3.7
2023-03-22,17,25.8,6.9
2023-03-23,15,20.8,11.9
2023-03-24,12.4,18.1,7
2023-03-25,10.8,13.1,9.1
2023-03-26,9.7,16.8,4.2
2023-03-27,7.4,15.5,-0.3
2023-03-28,8.7,16.9,0.6
2023-03-29,11.8,21.5,1.8
2023-03-30,14.2,23.1,4.4
2023-03-31,14.7,24,4.9
2023-04-01,16.8,26,6.4
2023-04-02,16.9,22.8,9.6
2023-04-03,16.8,23.3,8.7
2023-04-04,15.2,22.3,11.1
2023-04-05,12.1,16,7.9
2023-04-06,8.7,10.1,7.1
2023-04-07,9,15.9,3.2
2023-04-08,8.6,16,1.7
2023-04-09,10.1,18.6,2
2023-04-10,12.6,21.3,2.5
2023-04-11,14.7,20.8,10.2
2023-04-12,10.9,18.1,4
2023-04-13,13.5,23.2,3.1
2023-04-14,15.1,22,7.1
2023-04-15,12.5,15.4,8.2
2023-04-16,10.9,17,6.9
2023-04-17,13.6,20.8,4.8
2023-04-18,13.8,15.5,12.4
2023-04-19,20.2,28,13.2
2023-04-20,19.9,25.7,15.1
2023-04-21,17.5,23.2,13
2023-04-22,16.2,21.5,11
2023-04-23,15.9,21.3,11.4
2023-04-24,15,19.8,11.4
2023-04-25,9.3,11.5,7.9
2023-04-26,9.5,16.3,5.1
